sentence1,sentence2,label,,,,
I'm a fucking veteran and got treated like shit by a fucking city cop? what the fuck I come home for!,"I'm curious to explore my homosexuality, I don't know how i'm gonna react to it. So yes, i'm looking for 29+ woman.",0,,,,
"I feel like there's something wrong with me, I do so much for him but doesn't show exactly the same back. Not on an emotional level but physically and maybe sexually as well.","The girl I like keeps hanging out with this other guy,what do I do?",1,,,,
penis,relationships,0,,,,
my life makes me feel exhausted,my relationship makes me feel _sad___,0,,,,
life makes me feel like i'm at a party that's one chair short and i'm the person that everyone wishes would leave so that there'd be enough chairs for everyone but no one will ask because that'd be awkward,other,0,,,,
I have trichotillomania and I've never told anyone :/,I faced a lot of homophobia today from people who I didn't even think were homophobic,0,,,,
i lost my son 4/20 an some days i just don't want to wake up,a loved one is dying,1,,,,
"depression, self esteem, suicidal actions/thoughts",existential loneliness,0,,,,
Relationship makes me feel angry,"When I was a child, I was bullied a bunch and didn't have supportive friends. Although it was only verbal bullying, I wonder if that's what caused my social awkwardness.",0,,,,
I miss my ex,I miss my ex and I’m lonely and depressed,1,,,,
"I'm so confused rn, I was hugging my close guy friend and all of a sudden he kisses me on my cheek and then kisses me on my neck! I had no clue how to react to this act of his but I liked the feeling. What should I do about this incident?",No one's here for me…,0,,,,
I scared I may be pregnant and he won't give up his old life,I'm a fucking veteran and got treated like shit by a fucking city cop? what the fuck I come home for!,0,,,,
ptsd anxiety depression,depression sadness,1,,,,
I want to kill myself. Suicide is the best option.,Can't find motive to study,0,,,,
lonely,"loneliness, loneliness",1,,,,
family issues,depression and fights with my mom,1,,,,
I just really need someone to talk to.. I feel so lonely..ðŸ˜”,Dreading the weekend. Addiction is not gonna win this time. Cold turkey has never been such a terrifying concept…,0,,,,
Having a bipolar Mom means I never know which Mom I get that day.,I have borderline personality disorder. It's literally the worst and I wish that I could 1) tell everyone I've ever hurt that I never meant to & 2) snap the fuck out of it and be normal,1,,,,
i want to chat with some one share the feelings,having a really awful night,0,,,,
Haven't seen my dad in 3 years after a traumatic experience. Seeing him in 2 weeks. Scared but kinda excited?,"I was out with my girlies today and they were all talking bout the hot guy strangers, I didn't notice a single one of them I only noticed the hot girls ... it irritates me so much I can't change it and my family'd disown me if they found out that their daughter is a lesbian.. they could even lock me up in a hospital till I get cured ... I just wish I was like other girls ... I wish I could fall in love with the opposite sex",0,,,,
i feel so lonely and sad i sent my girlfriend so many text she red them now but didn't respond.,my school makes me feel,0,,,,
he just seem to have disappeared after three years i hope he is getting the help he needs i don't want to put any more pressure on him i love and miss him,goth,0,,,,
Am I gay or straight,Am I gay?,1,,,,
Family makes me feel restricted pressured,"I tried to quit smoking, for 7 months, days after days, promises after promises.",0,,,,
relationship with parents,happeless,0,,,,
"lonely, no friends, fake friends",i cannot communicate properly with my adult son about our relationship he either shouts at me or give me silent treatment,0,,,,
stroking,awkward,0,,,,
relationship advice,"in a long distance relationship, divorce, hi i'm troubled with relationship issues., relationship, marriage issues, my relationship makes me feel, my relationship makes me feel, relationship problems, i went through trauma and i’m unhappy with my relationships, work, school and overall my life",1,,,,
"i hate that deeply rooted emotional trauma makes everything so difficult, whether it's loving someone, being the person you want to be, anything. it just sucks.",My dad is racist,0,,,,
I feel stressed out about relationships and i don’t know if I’ll ever have one,"The abuse I'm going through is beginning to be unbareable, but I've got 1 more year until I can leave. No one helped me when I spoke up about it 4 years ago, no one will help me now.",0,,,,
i feel alone and anxious.,family drama,0,,,,
"I feel like I'm being deceived in some way by someone I just began dating, it's making me anxious but I can't explain why as this person doesn't really have a significant impact on my life yet",This depression is just getting worse... I feel no hope...,0,,,,
I feel like my gf is mad at me,i broke up with my gf cuz she cheated on me ....and... idk what to do i really need someone to take her place esp because theres no one for me to be intimate with i dont mind if its long distance either i just need someone to talk to like i did to her i really feel empty,1,,,,
i feel happy but lonely,girls,0,,,,
Sometimes being a military wife sucks!,"Feeling a little sad, morning the loss of our baby",0,,,,
relationship,"i have a secret i wont tell anyone, i have corona",0,,,,
Sometimes being a military wife sucks!,I am scared that PTSD is going to ruin my life.,0,,,,
cancer,I have Cancer,1,,,,
I wish you could choose who your parents are.,i feel i am getting apart fron my family,1,,,,
staying alive,my life makes me feel confused,0,,,,
This depression is just getting worse... I feel no hope...,I'm so depressed,1,,,,
"Feeling a little sad, morning the loss of our baby",I cry literally every night just because I know when I wake up I have to go to school,0,,,,
"hii, i have been talking to a boy for almost a month now but it’s tricky because he is from a different state i have bad anxiety, and he always asks me to call him i promise him i will soon but i can’t work up the courage to actually do it, even though i want to i’m afraid if i continue being li",spouse of combat veteran with ptsd,0,,,,
"Depression is a shadow that lurks behind me. When I step into light, it may fade, but it will always be there.",So nervous for school it's starting tomorrow,0,,,,
Family abuse,Family Abuse,1,,,,
"why do parents always give me so much crap for nothing, they just add more, and more stipulations",I'm so depressed,0,,,,
my life makes me feel,anxiety and depression,0,,,,
i need to talk to someone about the abuse that is happening to my daughter,"i have a birthmark, so i need to speak with a birthmark specialist.",0,,,,
hi i'm troubled with relationship issues.,relationship problem,1,,,,
My BPD girlfriend just discarded me. I feel so low.,School makes me feel lost out of control,0,,,,
Just lost a job that would have changed my life.  They gave me no reason or explanation.  Everyone said it was a sure thing.,I'm tired of my dad treating me like a piece of shit,0,,,,
my life makes me feel slow paced.,my life makes me feel,1,,,,
I just really need someone to talk to.. I feel so lonely..ðŸ˜”,This depression is just getting worse... I feel no hope...,0,,,,
rship,relationship,1,,,,
my sister is annoying and she’s driving me crazy,a lot os things going on but im still here,0,,,,
"anxiety, relationships",anxiety,1,,,,
parenting,"my teacher, who i was quite good friends with left and i'm having a hard time getting over it, especially now schools started again, school",0,,,,
battling with some negative thoughts i've just left another chat and i'm not quite ready to part ways with the support group,"breakup, iv been abusive in my relationship",0,,,,
Life,Life problems,1,,,,
extremely depressed and losing all hope,"anxiety, relationship problems, lack of sleep, past haunting me and trying to forget someone special from my past who is no longer in my life, i feel so lost and alone",1,,,,
Three more months until my suicide date.,This depression is just getting worse... I feel no hope...,0,,,,
can I hide a pregnancy from my mom?,I have no problem beating up a none year old if they don't stop bullying my little girl.,0,,,,
No one's here for me…,I have trichotillomania and I've never told anyone :/,0,,,,
Three more months until my suicide date.,"I tried to quit smoking, for 7 months, days after days, promises after promises.",0,,,,
"I just broke down in tears while working, nice, three more hours to go..",i need money and my job  freaking sucks they barley pay me anything,0,,,,
I'm just now realizing how lonely I actually am,I have no problem beating up a none year old if they don't stop bullying my little girl.,0,,,,
"i lost someone's love,but his love still is in my heart and that's only true love for me,i can't forget him,and can't able to marry forcefully to anyone else, i want to give my own meaning to my life",twinflames,0,,,,
love,"alone, my relationship makes me feel depress",1,,,,
myself,relationships worries,0,,,,
weirdly i am so into a guy that is not appropriate for me he has someone else and i can’t get over the hurt that i feel it hurts so badly,releationship,0,,,,
bulimia,"depression, taking it out on relationship",0,,,,
i am so sad and lonely and the only thought in my head is that i want to die. i don’t see how anything will ever get better.,porn addiction porn,0,,,,
common struggle,help,0,,,,
how much?,the awareness that i am worthless,0,,,,
"lately i haven't been feeling myself prom, graduation and college are coming up soon but i don't feel excited about anything i don't feel like i have any friends or anyone to talk to about my personal issues (as you can tell) i always feel like i'm being a bother and that no one wants me around",isolation loneliness depression anxiety school,1,,,,
boyfriend,life's going nowhere i play football entirely because all my friends do and i was the worst kid on the team every year but i still loved it because i was on the team and i was one of the guys this year it's different no longer excited for the season and every day before practice i want to run awa,0,,,,
i feel depressed,everything,0,,,,
my school makes me feel weird,young age thinking,0,,,,
my ex told me i was controlling,"i just feel lost , i feel so lonely my ex gf of 5 years broke up with me and moved on so quick it hurts my soul whenever i see her because its only been a month and we planned on getting back together and she left be behind it hurts so bad i blame myself for still loving her",0,,,,
Had my first interview last week Just got my first job from it today Can't help feel miserable about it though,"I feel like I'm being deceived in some way by someone I just began dating, it's making me anxious but I can't explain why as this person doesn't really have a significant impact on my life yet",0,,,,
No one's here for me…,I have no friends at all,1,,,,
Relationship makes me feel angry,My dad is racist,0,,,,
Living in a non military community is hard. Most people you meet don't understand what obstacles we as military wives face.,Being emotionally unstable is really exhausting because every little thing can trigger my depression and I’m always sorry for it because I don’t want other people to have to be careful about what they can or can’t say to me.,0,,,,
"I feel like I don't matter to him, by his actions.",No one's here for me…,0,,,,
i just wanna die,don't want to live anymore but don't want to kill myself,1,,,,
i rated on my current boyfriend with my ex he says he wants to use this as a restart in our relationship but i have feelings for my ex still and i feel like this whole situation is weighing on me the most and my heart just hurts and i’m confused about everything,"all this stuff, i guess i need a shoulder to cry on without worrying about hurting people all this stuff, i guess i need a shoulder to cry on without worrying about hurting people self insecurity self insecurity lonliness, fear, anxiety, depression hello - i am just feeling very isolated",0,,,,
i need help emotionally,weight and religion!,0,,,,
Had my first interview last week Just got my first job from it today Can't help feel miserable about it though,If I'm not interested in him but am trying to get over someone should I still spend the weekend camping with his friends,0,,,,
relationship problems,i’m so sad,0,,,,
I'm bored at home. He's out somewhere. I tried talking to him and he didn't really care.,I have no friends at all,0,,,,
"depression, anxiety",anxiety,1,,,,
i have more than 100 people to care about but i have no food to feed them so i need help if can help please help me with anything  email address is rickdatruth24@gmail.com  phone number 2+256703245779,i know that im attracted to people and sometimes i can get small crushes and develop feelings but when it comes to love and actually acknowledging my feelings i feel like its not there or i just made it all up,0,,,,
When your boss says I don't care more than any other phrase...,"I am a survivor...a survivor of abuse!!   I survived abuse from the hands of my parents, in every sense of the word. How is one ever supposed to move on from that",0,,,,
Days just get lonelier with no relief.,I wish you could choose who your parents are.,0,,,,
love life,"depression anxiety, severe depression",0,,,,
suicidal thoughts,idk i just want them to listen to me and ill listen to them,0,,,,
No one's here for me…,This depression is just getting worse... I feel no hope...,0,,,,
my relationship makes me feel lost,fun,0,,,,
I'm bored at home. He's out somewhere. I tried talking to him and he didn't really care.,Wish to tell him about my grief very soon,0,,,,
"I'm not suicidal. I'm not capable of doing such an act on myself but if a bus is driving right at me, I wouldn't run.","I was happy in the beginning, but I can't help but think he invaded my womb. I honestly regret getting pregnant, yet he's excited. My friends say it must be the hormones... but I don't that's what it is. I bought into an imaginary utopia.",0,,,,
gay,porn,0,,,,
anger,depression and fights with my mom and suicidal,0,,,,
"I'm not suicidal. I'm not capable of doing such an act on myself but if a bus is driving right at me, I wouldn't run.","I feel like I don't matter to him, by his actions.",0,,,,
i’m not sure how to come out,"i’m not sure how to come out, the struggle im him, but him is me, and the opposite!",1,,,,
I scared I may be pregnant and he won't give up his old life,Living without drugs is incredibly challenging.,0,,,,
Days just get lonelier with no relief.,I have trichotillomania and I've never told anyone :/,0,,,,
i'm there for my coworkers but they rarely help me when I need it.,My family thinks I'm a failure and I'm only 14...,0,,,,
I faced a lot of homophobia today from people who I didn't even think were homophobic,How do I get enough motivation for studying?,0,,,,
My partner doesn't understand me.,I have left school but the bullies have never left my mind.  They still mock me.,0,,,,
Don’t know if i had an emotional affair with my ex while 3 months into a relationship with my current boyfriend,emotional affair,1,,,,
My partner doesn't understand me.,"I love my boyfriend, soon to be husband. I just don't think he's happy with me anynore .",1,,,,
i have not been paid by my employer,relationship advice,0,,,,
relationships,"the struggle, common issues",0,,,,
can't find work even after going to grad school.,"ive been banging a married woman. her husband knows.  but im not as,  just a bang,  as i thought it'd be",0,,,,
"There is this guy that I liked who rejected me, and now he suddenly likes me. But won't tell me why. Do I have faith in him?","I hate school so much, I want to be sick so I don't have to go. I hope I get a fever",0,,,,
i need money and my job  freaking sucks they barley pay me anything,Family makes me feel restricted pressured,0,,,,
crushes,my boyfriend gives me the silent treatment when i voice my problems with the relationship.,0,,,,
"I feel like I'm being deceived in some way by someone I just began dating, it's making me anxious but I can't explain why as this person doesn't really have a significant impact on my life yet","I thought my depression couldn't get any worse, but with more bad news coming my way, I feel like I'm drowning :/",0,,,,
When your boss says I don't care more than any other phrase...,My dad is racist,0,,,,
so my boyfriend has turned to drinking through stress,want to get back to my last chat,0,,,,
"He's never there, he's never listening, he doesn't care…",Sometimes being a military wife sucks!,0,,,,
Work makes me feel negative,I'm bored at home. He's out somewhere. I tried talking to him and he didn't really care.,0,,,,
"depression, eating disorder",i'm emotionally exhausted,1,,,,
addictions,my son's feet,0,,,,
relationship problems,insignificant,0,,,,
sad,"me, myself & life",0,,,,
my boyfriend and I made plans but he would rather be with his family than me,my boyfriend said something that made me feel upset,1,,,,
I feel sad,"relationship issues, divorced, separation",0,,,,
my grief is so intense. people think it was just a bird . but he wasnt just a bird. he was MY baby bird and i would do anything to have him here right now. i cant stop the tears that keep falling.,Dreading the weekend. Addiction is not gonna win this time. Cold turkey has never been such a terrifying concept…,0,,,,
"depression, anxiety",mood disorder relatinships,1,,,,
feel alone,depression anxiety,1,,,,
I'm a fucking veteran and got treated like shit by a fucking city cop? what the fuck I come home for!,"Concerned now that the reason behind being tired all the time, a fluctuating appetite, inability to focus and this vague ominous feeling are because the depression back...if that's a thing that ever really goes away.",0,,,,
"low self esteem, got no money to get out of house.","anxiety,depression, sucidal thoughts, self harm, dv, low seld esteem and confidence. i feel like i do everything wrong and it's to blame on me. i feel like no one cares for me i feel guilty mad desperate and lonely",0,,,,
i can’t stop crying. i’m never enough. always being used friendship and relationship. nobody likes me even my family hates me,i like himmy friend,0,,,,
"I'm not suicidal. I'm not capable of doing such an act on myself but if a bus is driving right at me, I wouldn't run.",Living without drugs is incredibly challenging.,0,,,,
feeling confused and a bit anxious about something,feeling confused,1,,,,
dating advice,i need relationship advice,1,,,,
I just want a baby so bad: ( is that so hard to have???,I feel really stressed about college.,0,,,,
I have no problem beating up a none year old if they don't stop bullying my little girl.,I constantly think my kids would be better off without me.,0,,,,
3 years ago I was diagnosed after 5 years of anorexia. My friends and family think I've moved past this but I really haven't.,How do I get enough motivation for studying?,0,,,,
"I'm so confused rn, I was hugging my close guy friend and all of a sudden he kisses me on my cheek and then kisses me on my neck! I had no clue how to react to this act of his but I liked the feeling. What should I do about this incident?",I'm depressed and losing control of my life.,0,,,,
guilt,"am i an over thinker? i don’t know why i feel like this, like so off and weird it’s just different than how it was a few months ago (even before quarantine) , is he interested in me or not",0,,,,
my life makes me feel _sad___,i'm worried about an up coming conversation with someone i really care about,0,,,,
feeling panicky about emotionally hurting my boyfriend,"emotional abuse, relationship,advice,problems",1,,,,
Family makes me feel restricted pressured,My dad is racist,0,,,,
Why so girls have such a strong ego of not telling guys of their feeling for them,I'm a fucking veteran and got treated like shit by a fucking city cop? what the fuck I come home for!,0,,,,
religion concerns,idk what to do  i feel like a leech to society and npthing i do is good enough,0,,,,
"I'm not suicidal. I'm not capable of doing such an act on myself but if a bus is driving right at me, I wouldn't run.",Depersonalization is not fun. Being in a body feels so strange right now.,0,,,,
"I love my boyfriend, soon to be husband. I just don't think he's happy with me anynore .",Surrounded by company but still feel alone.,0,,,,
breakup,flashbacks,0,,,,
I just really need someone to talk to.. I feel so lonely..ðŸ˜”,Family makes me feel restricted pressured,0,,,,
anxiety,lonely,0,,,,
"i hate that deeply rooted emotional trauma makes everything so difficult, whether it's loving someone, being the person you want to be, anything. it just sucks.",I faced a lot of homophobia today from people who I didn't even think were homophobic,0,,,,
Three more months until my suicide date.,I want to be more active but I'm too depressed.,0,,,,
I have no problem beating up a none year old if they don't stop bullying my little girl.,My family thinks I'm a failure and I'm only 14...,0,,,,
home situation,overwhelmed idk,0,,,,
Relationship makes me feel angry,Can someone figure out my sexuality for me because I can't,1,,,,
affairs,relationship,1,,,,
"I'm not suicidal. I'm not capable of doing such an act on myself but if a bus is driving right at me, I wouldn't run.",I'm a fucking veteran and got treated like shit by a fucking city cop? what the fuck I come home for!,0,,,,
general anger over medical issues,i get paid on the 1st how can i get free box of food and drinks,0,,,,
"I'm curious to explore my homosexuality, I don't know how i'm gonna react to it. So yes, i'm looking for 29+ woman.","My depression is mostly irritating after all these years, but still awful.",0,,,,
I don't know if I'm ever going to fully outgrow my trauma.,I faced a lot of homophobia today from people who I didn't even think were homophobic,0,,,,
I constantly think my kids would be better off without me.,"I went to the psychologist and she diagnosed me of bipolar, obsessive compulsive personality disorder. She thinks I need more catharsis. But I think she needs to help me take everything out. I cant even write my feelings down anywhere.",0,,,,
relationship,parents dont trust me,0,,,,
"Whenever he walks into the room, I get horny... why?",Relationship makes me feel angry,1,,,,
struggling through the same issue again,relationship,0,,,,
"I'm so confused rn, I was hugging my close guy friend and all of a sudden he kisses me on my cheek and then kisses me on my neck! I had no clue how to react to this act of his but I liked the feeling. What should I do about this incident?",Dreading the weekend. Addiction is not gonna win this time. Cold turkey has never been such a terrifying concept…,0,,,,
"When I was a child, I was bullied a bunch and didn't have supportive friends. Although it was only verbal bullying, I wonder if that's what caused my social awkwardness.",I have trichotillomania and I've never told anyone :/,0,,,,
relationship 13 years old,marriage,0,,,,
dealing with anxiety about a breakup,my boss makes me feel uncomfortable,0,,,,
getting hard,massage,0,,,,
"i had something traumatic happen to me for a couple of years , but i was young & i didnt want to tell anyone. i feel like its affecting all my decisions towards things i want.",No one actually cares about me. Being left alone when I'm struggling sucks.,0,,,,
fortnie,i'm struggling to find the good in each day and do not know how much more i can handle feeling this way,0,,,,
just feeling like talking,"my something makes me feel __sad, confused, fed up__, i am horrifically ugly i hate when pretty people call themselves ugly i know they aren't trying to make me feel bad but it still hurts",1,,,,
can I hide a pregnancy from my mom?,"I am a survivor...a survivor of abuse!!   I survived abuse from the hands of my parents, in every sense of the word. How is one ever supposed to move on from that",0,,,,
"I am tired, work has been brutal lately.",I am scared that PTSD is going to ruin my life.,0,,,,
i send to many nudes,"i'm not interested in life anymore, getting over a guy",0,,,,
Being emotionally unstable is really exhausting because every little thing can trigger my depression and I’m always sorry for it because I don’t want other people to have to be careful about what they can or can’t say to me.,I'm addicted to pornography but I'm getting better. Any tips for staying clear from the thought of it?,0,,,,
my stress makes me feel,anxiety,1,,,,
lgbtq issues,is anyone can help about virus?,0,,,,
lonliness,voices,0,,,,
drugs,i get really anxious and upset whenever my mom drinks alcohol. i have been through the ringer with this and have spoken to her so many times about it but she just gets defensive.,1,,,,
relationship problems and anxiety,crush,0,,,,
"i hate that deeply rooted emotional trauma makes everything so difficult, whether it's loving someone, being the person you want to be, anything. it just sucks.","I tried to quit smoking, for 7 months, days after days, promises after promises.",0,,,,
Stressed about money,i feel i am getting apart fron my family,0,,,,
i’ve had a lot of trouble with family and my thoughts lately,"my sister is saying she is going to kill her self and blame it on me. (she has bipolar), self harm, depresion, thoughts of suicide, and loneliness, i'm struggling",1,,,,
I have no problem beating up a none year old if they don't stop bullying my little girl.,I'm so depressed,0,,,,
my boyfriend won't have sex with me,lonely,0,,,,
"I was out with my girlies today and they were all talking bout the hot guy strangers, I didn't notice a single one of them I only noticed the hot girls ... it irritates me so much I can't change it and my family'd disown me if they found out that their daughter is a lesbian.. they could even lock me up in a hospital till I get cured ... I just wish I was like other girls ... I wish I could fall in love with the opposite sex",i feel i am getting apart fron my family,0,,,,
grieving,sad,1,,,,
feel like i have nobody me and my fiance are going through a hell off alot right now and i'm struggling with sleeping and i feel anxious about everything,"school, parent relationships, sleep",0,,,,
"my 3 year relationship. i love this man very much but i dont want to constantly have sex with him once a week or per two weeks seems normal to me, i also think i may be a sexual. he feels like he doesnt matter to me even though he is my world i feel like im nothing...",relationship advice,1,,,,
suspended,i don't have much of a support system in my life. it has been very isolating before but covid has made it worse.,0,,,,
insecurities,heart ache,0,,,,
I’ve lost my mum to cancer,My mum died to cancer,1,,,,
I feel stressed out about relationships and i don’t know if I’ll ever have one,I'm a fucking veteran and got treated like shit by a fucking city cop? what the fuck I come home for!,0,,,,
So telling him goodbye was as bad as it sounds . Getting a goodbye sounds worse . It was as if he breath me out no work no nothing just simple and meaning less .,So nervous for school it's starting tomorrow,0,,,,
Why so girls have such a strong ego of not telling guys of their feeling for them,I am scared that PTSD is going to ruin my life.,0,,,,
i feel like i’m getting too emotional for no reason,i consistently feel dissatisfied with my happiness and i’m constantly emotional,1,,,,
my relationship makes me feel depressed,"my life makes me feel, my relationship makes me feel alone",1,,,,
"I love my boyfriend, soon to be husband. I just don't think he's happy with me anynore .","Feeling a little sad, morning the loss of our baby",0,,,,
depression,motivation,1,,,,
Why so girls have such a strong ego of not telling guys of their feeling for them,Relationship makes me feel angry,1,,,,
"I am tired, work has been brutal lately.","The abuse I'm going through is beginning to be unbareable, but I've got 1 more year until I can leave. No one helped me when I spoke up about it 4 years ago, no one will help me now.",0,,,,
i think i'm bi.... but i'm afraid to tell my family because they are judgemental,lgbtq,1,,,,
I've bin bullyed for years and years and i want to have a normal life because i thinkin my hole life why me,I'm so depressed,0,,,,
relationships,"debating whether i should find peace with myself tonight , i am having an issue with a buddy of mine, we are both men, and i am confused on what is happening or what happened between us i am looking for some advise or some insight",0,,,,
"Whenever he walks into the room, I get horny... why?",I'm gay and no one knows. Should I tell people?,0,,,,
relationship breakup falling out,my relationship makes me feel __down __,1,,,,
loneliness,loneliness,1,,,,
"I just broke down in tears while working, nice, three more hours to go..",Being emotionally unstable is really exhausting because every little thing can trigger my depression and I’m always sorry for it because I don’t want other people to have to be careful about what they can or can’t say to me.,0,,,,
I want to kill myself. Suicide is the best option.,I'm addicted to pornography but I'm getting better. Any tips for staying clear from the thought of it?,0,,,,
i have a lot of friends but still feel alone,"hot,boystrong",0,,,,
pregnancy assault depression anxiety,ghosting,0,,,,
I don't feel like she loves me as much as she says she does,Will I be a good mom?,0,,,,
i feel like my girlfriend is emotionally abusive,other,0,,,,
anxiety,idk what to do,1,,,,
"I'm not suicidal. I'm not capable of doing such an act on myself but if a bus is driving right at me, I wouldn't run.",I have left school but the bullies have never left my mind.  They still mock me.,0,,,,
"Here’s my issue. I really like this girl and I want to ask her out but when I get nervous I talk at about 100000 words per minute and people will commonly say what or repeat yourself and if I build up the nerve to ask, I just feel like me repeating myself because sin sluring my words or talking too fast defeats the romantic part about it! Any suggestions??","My girlfriend just left me, her dad is abusive and he found out about us",0,,,,
i feel really misunderstood and worthless,i can’t shake the feeling that i’ll never be good enough for anyone and that it’ll be better for everyone if i was gone i can't be myself and i feel like everyone is against me.,1,,,,
depression,i got into a car accident earlier today and i don't know if the other person is alright and i don't have insurance,0,,,,
Work makes me feel negative,I scared I may be pregnant and he won't give up his old life,0,,,,
bored,cant sleep,0,,,,
i need money and my job  freaking sucks they barley pay me anything,Grandmother is moving out at the end of the week. I wish I didn't feel so relieved.,0,,,,
i am a mom and just want to talk to adults,"am lost feeling lonely loneliness i am feeling bored, lonely and just need someone to talk to.",0,,,,
"He's never there, he's never listening, he doesn't care…",My dad is racist,0,,,,
"i had something traumatic happen to me for a couple of years , but i was young & i didnt want to tell anyone. i feel like its affecting all my decisions towards things i want.","I was out with my girlies today and they were all talking bout the hot guy strangers, I didn't notice a single one of them I only noticed the hot girls ... it irritates me so much I can't change it and my family'd disown me if they found out that their daughter is a lesbian.. they could even lock me up in a hospital till I get cured ... I just wish I was like other girls ... I wish I could fall in love with the opposite sex",0,,,,
relationship,"i don't know what to do my friend is an alcoholic and addicted to cocaine, she has gotten caught up with a drug dealer who provides her both alcohol and cocaine and today raped her and afterwards took money to have her have sex with some random person do you have any advice?, sex",0,,,,
emetephobia,"emetephobia, anxiety, loneliness and depression",1,,,,
"Here’s my issue. I really like this girl and I want to ask her out but when I get nervous I talk at about 100000 words per minute and people will commonly say what or repeat yourself and if I build up the nerve to ask, I just feel like me repeating myself because sin sluring my words or talking too fast defeats the romantic part about it! Any suggestions??","I'm so confused rn, I was hugging my close guy friend and all of a sudden he kisses me on my cheek and then kisses me on my neck! I had no clue how to react to this act of his but I liked the feeling. What should I do about this incident?",1,,,,
"Feeling a little sad, morning the loss of our baby",This depression is just getting worse... I feel no hope...,0,,,,
horny,"my family makes me feel, i moved to another country for a new job my husband is in another country though initially it was workable as it's just 1 hour flight difference but i haven't told my family that i chose to do this i don't think they will understand nor i think i'm ready yet to tell them",0,,,,
i want to die. but i'm not going to harm myself,i don't know why i am still living,1,,,,
relationship,love and relationships relationships and friendships,1,,,,
Boss makes me feel frustrated,I just really need someone to talk to.. I feel so lonely..ðŸ˜”,0,,,,
"I'm curious to explore my homosexuality, I don't know how i'm gonna react to it. So yes, i'm looking for 29+ woman.","The abuse I'm going through is beginning to be unbareable, but I've got 1 more year until I can leave. No one helped me when I spoke up about it 4 years ago, no one will help me now.",0,,,,
worried i may be pregnant but nobody to speak to about it,i’m overweight and i developed binge eating disorder. i’m a teenage girl and i’m feeling so down feeling more down than usual. worried about ridiculous things and am hiding a few things from my parents that i am starting to get guilty about,0,,,,
heartbroken,depression anxiety lgbtq haven't come out yet,0,,,,
Had my first interview last week Just got my first job from it today Can't help feel miserable about it though,My BPD girlfriend just discarded me. I feel so low.,0,,,,
my relationship,"guilt, failure, regret, fear, exhaustion, disappointment, embarrassment, frustration, anger,, i am a failure",0,,,,
hi i need someone who lives in the states,"fake friends, family problems, scared to share my opinions, missing people",0,,,,
I scared I may be pregnant and he won't give up his old life,"Depression is a shadow that lurks behind me. When I step into light, it may fade, but it will always be there.",0,,,,
Living in a non military community is hard. Most people you meet don't understand what obstacles we as military wives face.,I feel so alone..,0,,,,
going through heartbreak i i guess,school and looks,0,,,,
bully,im struggling emotionally also having conflicted relationship problems,0,,,,
"Feeling a little sad, morning the loss of our baby",Having a bipolar Mom means I never know which Mom I get that day.,0,,,,
common issues,life,0,,,,
"I'm curious to explore my homosexuality, I don't know how i'm gonna react to it. So yes, i'm looking for 29+ woman.",How do I get enough motivation for studying?,0,,,,
hopeless,stress,1,,,,
Sometimes being a military wife sucks!,No one actually cares about me. Being left alone when I'm struggling sucks.,0,,,,
break up,i feel like i am living the worst nightmare,0,,,,
self love,"i dont feel loved, i'm ok, but, i don't know if i'm ok",0,,,,
i’m sad,balancing responsibilities as a son and as a husband parenting struggles makes me sad,1,,,,
3 years ago I was diagnosed after 5 years of anorexia. My friends and family think I've moved past this but I really haven't.,Can't find motive to study,0,,,,
I believe if she comes over today I might just cry and hold her I can't stand being alone and thinking about how I'm worth nothing to a lot of people I care about,I'm gay and no one knows. Should I tell people?,0,,,,
If I'm not interested in him but am trying to get over someone should I still spend the weekend camping with his friends,"He's never there, he's never listening, he doesn't care…",1,,,,
I scared I may be pregnant and he won't give up his old life,"I thought my depression couldn't get any worse, but with more bad news coming my way, I feel like I'm drowning :/",0,,,,
self harm,"coming out as transgender , i am struggling with holding myself accountable/realizing what i want in life a situation recently happened where my past came to test me and i failed  miserably how can i overcome this? how can i hold myself accountable to those who are most honest with me?",0,,,,
jealousy,i guess my emotions,0,,,,
i am cheating on my boyfriend and i seem to have got attached to the other guy,relationship issues,1,,,,
i'm there for my coworkers but they rarely help me when I need it.,Surrounded by company but still feel alone.,0,,,,
i broke up with my gf cuz she cheated on me ....and... idk what to do i really need someone to take her place esp because theres no one for me to be intimate with i dont mind if its long distance either i just need someone to talk to like i did to her i really feel empty,No one's here for me…,0,,,,
Relationship makes me feel angry,I want to be more active but I'm too depressed.,0,,,,
something,depression,0,,,,
down in the dumps,i'm mad,0,,,,
Can someone figure out my sexuality for me because I can't,I feel stressed out about relationships and i don’t know if I’ll ever have one,1,,,,
"why do parents always give me so much crap for nothing, they just add more, and more stipulations",Dreading the weekend. Addiction is not gonna win this time. Cold turkey has never been such a terrifying concept…,0,,,,
relationship,"my mother, typing only black girl or boy mostly kid friend and knows what it is like to have older and little siblings and a twin",0,,,,
i’m can’t stop worrying and panicking,my life,0,,,,
School makes me feel lost out of control,"I am a survivor...a survivor of abuse!!   I survived abuse from the hands of my parents, in every sense of the word. How is one ever supposed to move on from that",0,,,,
I am scared that PTSD is going to ruin my life.,Having a bipolar Mom means I never know which Mom I get that day.,1,,,,
Working late again trying to balance work life and social life,I don't know if I'm ever going to fully outgrow my trauma.,0,,,,
